Tendencia de cobertura (ultimas mediciones)
================================================
2026-09-16    82.0% | ########################
2026-09-15    81.8% | ########################
2026-09-15    81.8% | ########################
2026-09-15    60.5% | 
2026-09-15    79.2% | #####################
2026-09-15    76.5% | ##################
2026-09-16    76.5% | ##################
2026-09-16    76.5% | ##################
2026-09-16    82.9% | #########################
2026-09-16    82.9% | #########################
2026-09-16    86.9% | ##############################
2026-09-16    87.2% | ##############################
